crop_type,area_hectares,days_since_sowing,ndvi_trend,avg_temp,cum_rainfall,yield_kg
WHEAT,6.74,105,0.713,15.2,566.2,21815.24
WHEAT,4.92,92,0.535,22.7,501.4,12629.54
RICE,5.83,101,0.612,32.2,106.1,11536.19
COTTON,6.98,121,0.714,18.9,652.0,11515.45
MAIZE,4.5,25,0.77,26.8,227.3,28278.17
RICE,6.61,119,0.651,24.2,148.3,21309.26
RICE,9.01,77,0.779,16.4,121.3,25731.27
PULSES,3.36,50,0.496,26.1,284.9,2446.37
COTTON,3.34,126,0.778,33.2,682.3,4889.39
RICE,0.78,16,0.433,34.9,696.0,2169.18
WHEAT,2.12,58,0.595,31.3,453.2,5158.52
PULSES,8.75,43,0.41,16.0,278.2,5536.03
PULSES,6.32,58,0.684,17.8,395.5,5420.68
WHEAT,7.65,115,0.56,25.4,230.4,19540.77
COTTON,9.78,92,0.516,16.8,624.7,10785.67
MAIZE,5.81,41,0.576,19.1,108.5,20442.56
RICE,2.52,95,0.814,18.8,128.4,7535.47
SUGARCANE,7.74,273,0.583,21.2,390.5,418442.93
SUGARCANE,1.5,76,0.723,34.5,700.9,98307.18
COTTON,2.29,81,0.787,34.0,482.9,3083.92
COTTON,8.82,38,0.829,18.7,71.4,10352.01
COTTON,3.84,40,0.124,23.6,163.0,2304.5
SUGARCANE,3.67,235,0.67,28.0,599.0,280402.42
MAIZE,2.3,32,0.756,24.9,375.2,15455.0
PULSES,2.86,24,0.661,15.7,249.6,2437.63
RICE,3.12,89,0.497,22.9,214.9,10307.55
PULSES,3.05,36,0.691,27.7,579.4,2955.48
RICE,1.4,74,0.28,29.8,689.4,2282.1
WHEAT,3.49,27,0.716,24.1,771.7,12488.77
COTTON,3.67,55,0.356,18.4,620.2,2094.04
MAIZE,9.71,84,0.825,24.5,83.9,42695.21
PULSES,9.91,39,0.683,17.9,120.4,6060.09
PULSES,3.69,72,0.638,20.1,414.9,2620.74
RICE,8.36,48,0.614,30.5,692.7,27827.88
SUGARCANE,5.1,148,0.575,15.4,784.0,266197.45
PULSES,9.94,55,0.699,29.8,780.0,9702.26
PULSES,1.35,58,0.632,32.5,559.1,859.18
COTTON,9.88,144,0.832,22.0,298.4,16447.33
MAIZE,3.44,15,0.79,31.7,142.2,16362.17
SUGARCANE,9.7,187,0.844,25.0,564.1,744384.25
WHEAT,5.47,84,0.559,21.1,266.2,14423.0
RICE,4.81,37,0.769,16.1,279.4,18914.88
PULSES,8.42,16,0.72,20.7,694.3,8473.61
SUGARCANE,1.97,54,0.434,29.7,374.0,114934.24
MAIZE,2.58,70,0.172,28.6,339.7,6129.53
RICE,8.98,48,0.685,23.7,706.9,40714.67
WHEAT,6.99,61,0.733,19.0,278.7,24106.14
PULSES,4.88,33,0.825,23.7,154.0,4803.13
MAIZE,5.29,97,0.512,23.6,365.4,25164.13
RICE,9.17,13,0.222,30.1,511.4,14382.07
WHEAT,6.01,105,0.759,26.3,270.0,21695.37
COTTON,1.7,11,0.803,25.4,679.4,2688.5
MAIZE,8.38,93,0.769,31.4,474.1,56362.13
RICE,1.65,84,0.577,16.1,203.8,4582.9
PULSES,9.69,27,0.785,32.0,275.7,9411.69
RICE,8.15,89,0.428,15.0,502.8,22582.49
RICE,2.85,23,0.817,23.9,91.7,8446.03
COTTON,5.1,57,0.602,25.9,666.3,6230.97
PULSES,6.36,65,0.654,17.8,608.4,5519.81
SUGARCANE,7.55,289,0.746,20.8,125.0,410557.2
MAIZE,6.84,60,0.81,24.3,660.1,43555.68
MAIZE,4.84,82,0.766,15.7,537.8,29201.52
COTTON,0.91,100,0.236,29.5,257.7,572.3
MAIZE,5.26,74,0.831,25.5,434.8,33585.98
WHEAT,3.84,96,0.822,17.8,638.7,12357.87
COTTON,1.15,133,0.744,28.2,482.0,1978.6
PULSES,5.49,26,0.541,26.6,488.4,4083.2
RICE,0.93,119,0.456,28.3,424.6,3029.37
MAIZE,7.72,108,0.576,19.7,724.8,35847.97
COTTON,7.68,117,0.118,20.0,78.1,3306.22
COTTON,7.75,17,0.193,29.0,333.2,4877.32
SUGARCANE,5.79,110,0.738,20.7,200.9,430764.94
SUGARCANE,8.18,108,0.655,34.2,122.2,357274.06
WHEAT,8.99,102,0.536,32.3,305.5,19918.98
PULSES,6.6,73,0.691,31.6,425.6,6440.23
SUGARCANE,8.61,44,0.775,32.5,476.9,542515.88
SUGARCANE,3.33,70,0.66,25.8,66.9,185254.42
MAIZE,9.26,42,0.722,32.4,168.4,50847.65
SUGARCANE,5.97,275,0.245,23.0,92.5,119323.2
RICE,6.04,43,0.408,23.4,200.4,20077.98
RICE,1.82,80,0.479,30.1,734.2,5569.1
COTTON,1.19,19,0.664,23.3,604.5,2047.81
SUGARCANE,5.05,76,0.658,15.7,430.7,355226.27
COTTON,5.04,68,0.661,30.5,658.5,8344.43
COTTON,6.98,14,0.66,30.3,571.6,11436.06
COTTON,5.72,39,0.829,34.7,325.8,7776.53
COTTON,9.22,70,0.768,19.5,610.6,15803.77
SUGARCANE,5.9,17,0.46,16.1,92.5,206873.03
MAIZE,0.92,54,0.614,35.0,147.3,2600.67
PULSES,1.66,19,0.838,19.1,578.9,1694.91
WHEAT,4.71,87,0.326,20.9,540.2,6044.98
MAIZE,3.53,79,0.661,33.0,579.1,20044.65
MAIZE,1.25,27,0.525,21.1,464.7,5773.65
PULSES,8.26,28,0.697,23.8,623.1,8547.87
RICE,5.24,14,0.768,21.0,773.8,22040.89
SUGARCANE,4.15,19,0.492,15.9,204.3,202559.47
COTTON,5.56,88,0.803,33.7,732.5,7996.34
MAIZE,9.27,43,0.542,30.1,305.7,45960.98
COTTON,8.72,24,0.533,34.0,749.4,8705.32
SUGARCANE,4.9,303,0.585,20.2,770.2,273503.6
WHEAT,1.75,13,0.787,20.5,799.1,6327.14
MAIZE,3.71,60,0.705,20.4,237.9,24860.71
SUGARCANE,0.62,167,0.714,20.3,184.1,47562.05
COTTON,0.58,19,0.239,31.9,213.4,332.64
RICE,3.13,88,0.841,23.8,243.5,14166.89
MAIZE,8.76,26,0.685,32.4,542.0,47829.86
PULSES,0.87,74,0.539,15.8,588.0,539.0
PULSES,9.92,42,0.819,32.0,455.3,9373.69
WHEAT,3.82,29,0.673,16.5,203.0,12186.92
PULSES,4.45,64,0.434,21.5,641.1,3151.13
COTTON,9.03,105,0.845,27.4,170.2,14220.99
WHEAT,9.16,16,0.692,21.3,586.8,33023.63
SUGARCANE,7.27,120,0.767,28.1,162.6,574490.75
PULSES,1.25,19,0.388,26.3,798.4,455.86
PULSES,4.47,25,0.527,16.0,404.2,2903.64
COTTON,3.51,59,0.47,19.9,232.3,4324.73
MAIZE,2.69,50,0.428,19.8,599.6,13402.95
MAIZE,1.26,81,0.833,28.1,503.9,8273.56
COTTON,2.68,42,0.171,33.2,555.6,1389.48
SUGARCANE,2.97,156,0.674,23.2,428.8,220649.23
COTTON,6.51,60,0.61,15.3,140.6,4805.1
SUGARCANE,7.26,250,0.43,15.7,373.6,372857.88
RICE,1.76,120,0.728,23.4,145.6,5527.55
WHEAT,7.26,40,0.815,21.7,506.6,24552.85
PULSES,0.93,55,0.364,27.6,605.5,332.65
COTTON,7.15,56,0.541,31.4,432.0,8281.64
RICE,6.14,57,0.509,21.4,182.5,20085.23
MAIZE,9.48,22,0.749,16.0,438.3,56453.07
SUGARCANE,8.52,228,0.727,30.1,765.1,625989.07
PULSES,8.88,36,0.706,32.6,285.8,7358.45
WHEAT,1.63,80,0.695,18.4,754.4,5599.57
SUGARCANE,7.66,128,0.434,19.1,679.1,439892.68
RICE,6.18,15,0.257,31.0,55.0,7151.75
RICE,4.01,46,0.266,29.6,440.7,6628.39
MAIZE,9.22,101,0.603,23.9,374.2,43207.38
WHEAT,9.93,39,0.333,29.9,216.8,12169.38
WHEAT,5.32,80,0.797,28.4,105.6,13354.84
RICE,4.62,100,0.476,31.8,545.8,15342.2
RICE,9.52,90,0.677,22.5,757.4,42614.12
MAIZE,4.97,72,0.576,20.7,198.9,24752.66
SUGARCANE,8.64,119,0.663,26.2,206.4,643865.64
COTTON,7.04,107,0.456,22.0,447.8,8831.82
MAIZE,8.49,47,0.518,27.6,498.4,40928.92
MAIZE,1.42,24,0.36,30.3,364.7,3390.0
WHEAT,6.79,39,0.841,28.2,310.7,23657.23
WHEAT,7.85,133,0.607,27.0,565.4,19149.4
MAIZE,5.32,110,0.762,21.5,556.2,34800.31
COTTON,4.54,76,0.178,29.6,304.9,2810.77
MAIZE,4.75,38,0.683,19.1,519.0,32754.1
SUGARCANE,6.3,76,0.405,29.4,651.8,338344.12
PULSES,3.67,55,0.533,28.1,439.0,2605.96
WHEAT,9.86,111,0.455,31.0,733.0,24816.28
WHEAT,5.75,73,0.11,15.4,755.3,6360.71
COTTON,8.02,20,0.71,19.6,629.3,12898.61
MAIZE,7.62,110,0.73,31.4,707.5,52112.49
RICE,1.2,102,0.576,15.4,607.0,3470.41
WHEAT,1.41,110,0.771,21.2,292.8,4969.33
RICE,3.37,68,0.703,28.1,403.6,14518.45
RICE,2.61,62,0.747,33.2,449.9,9512.11
RICE,9.93,103,0.725,25.9,131.2,29740.46
RICE,4.27,39,0.745,17.2,283.0,16306.85
PULSES,9.77,22,0.692,33.8,495.1,7879.35
COTTON,6.36,131,0.818,30.2,94.2,7340.96
COTTON,3.46,96,0.409,28.8,499.0,4306.22
MAIZE,7.06,106,0.748,25.0,769.6,45364.65
COTTON,7.23,141,0.798,29.7,740.9,11840.87
RICE,4.07,106,0.754,17.4,198.0,16713.13
RICE,0.87,64,0.775,25.5,154.9,3971.25
COTTON,4.29,85,0.849,29.4,710.2,6916.48
MAIZE,6.34,57,0.683,20.8,563.8,43111.09
PULSES,4.03,87,0.743,33.7,745.3,3465.9
WHEAT,2.06,131,0.733,18.0,100.3,5317.95
MAIZE,7.16,35,0.529,21.6,95.8,23982.29
WHEAT,1.13,67,0.653,18.9,263.1,4141.28
COTTON,6.05,88,0.803,33.7,470.8,8605.27
WHEAT,1.24,49,0.693,18.6,472.7,4201.86
SUGARCANE,6.08,206,0.804,26.8,257.9,482546.54
SUGARCANE,6.85,252,0.651,19.6,212.3,550106.46
SUGARCANE,1.89,94,0.65,16.6,777.4,126222.21
COTTON,4.54,130,0.75,17.3,470.1,6659.18
COTTON,7.21,100,0.754,25.6,712.5,12303.59
WHEAT,9.48,81,0.602,26.2,417.6,24970.08
PULSES,1.64,65,0.443,32.3,691.5,1030.85
MAIZE,7.42,37,0.61,33.4,193.2,29892.78
PULSES,9.96,35,0.755,15.1,282.8,8514.16
MAIZE,9.2,74,0.276,15.7,256.2,19829.74
RICE,9.96,100,0.775,34.4,667.5,38603.28
COTTON,9.97,126,0.745,32.5,612.9,14412.8
RICE,4.01,88,0.437,29.7,703.2,12359.33
COTTON,8.42,40,0.777,16.2,123.1,8791.17
WHEAT,6.72,14,0.784,33.0,723.3,19441.15
SUGARCANE,7.36,197,0.838,23.1,678.3,576333.9
RICE,2.33,107,0.796,16.7,382.5,9019.68
WHEAT,7.04,114,0.799,31.8,52.4,16954.12
MAIZE,1.62,69,0.789,26.3,397.3,10281.71
RICE,2.23,21,0.768,34.3,625.0,8581.01
WHEAT,6.56,127,0.795,19.9,678.0,23419.83
WHEAT,7.6,43,0.726,20.7,259.2,26925.99
COTTON,2.65,58,0.69,34.6,244.5,3694.18
RICE,5.15,84,0.804,25.5,672.1,23083.83
WHEAT,0.85,108,0.764,34.9,375.4,2580.33
PULSES,8.06,36,0.844,26.0,607.3,7795.04
SUGARCANE,7.85,142,0.702,33.4,437.8,520518.89
COTTON,1.83,92,0.726,26.8,75.4,2156.2
PULSES,3.91,11,0.745,21.7,727.2,3749.78
MAIZE,3.41,69,0.8,23.8,512.5,22716.6
PULSES,4.63,61,0.699,29.5,500.7,4575.7
COTTON,3.35,69,0.616,25.1,365.7,4130.18
SUGARCANE,4.31,24,0.683,21.0,497.6,338428.8
SUGARCANE,2.39,300,0.431,21.7,769.9,140134.83
MAIZE,8.03,28,0.51,18.3,50.6,26029.7
WHEAT,3.36,30,0.822,23.7,593.1,11418.14
SUGARCANE,8.53,201,0.682,17.0,462.4,584865.83
WHEAT,9.17,106,0.569,30.3,121.9,15822.17
WHEAT,4.3,93,0.597,29.6,368.4,10891.15
RICE,3.8,95,0.541,19.4,506.4,12485.7
MAIZE,3.94,74,0.547,30.0,735.9,19187.32
WHEAT,5.25,21,0.737,21.8,540.5,18342.71
MAIZE,3.46,96,0.408,34.2,366.3,13641.83
PULSES,5.41,23,0.667,28.7,126.1,3885.02
RICE,2.03,26,0.727,24.1,414.6,9342.8
COTTON,4.51,23,0.702,27.7,502.7,7666.54
COTTON,5.27,131,0.603,34.4,133.8,3641.93
COTTON,5.55,108,0.419,15.1,761.2,6118.41
MAIZE,2.38,88,0.509,16.0,261.3,9892.49
COTTON,4.87,22,0.565,20.0,303.1,5724.87
RICE,5.66,32,0.733,23.9,273.3,23747.5
RICE,3.89,14,0.729,18.5,451.2,16475.96
WHEAT,6.51,120,0.483,24.2,512.9,17363.51
PULSES,8.29,82,0.665,22.5,160.1,8598.45
PULSES,8.22,22,0.846,16.6,745.6,7506.58
COTTON,4.31,57,0.174,28.1,712.2,2673.11
COTTON,9.67,59,0.849,27.3,454.4,16424.15
PULSES,8.09,57,0.693,33.7,256.1,6936.31
WHEAT,3.13,21,0.618,28.6,254.5,7938.43
RICE,7.93,94,0.703,27.0,781.9,34257.52
WHEAT,2.64,93,0.772,29.6,507.0,9256.23
COTTON,6.53,94,0.745,26.2,307.2,10580.17
COTTON,1.94,137,0.79,28.5,241.8,3051.28
SUGARCANE,9.69,333,0.847,16.7,611.0,673504.14
MAIZE,3.27,50,0.743,18.1,488.7,21850.19
SUGARCANE,4.6,21,0.468,29.9,792.3,254387.32
SUGARCANE,1.75,320,0.136,22.9,208.5,47092.1
MAIZE,2.2,30,0.636,34.6,462.6,8843.18
WHEAT,4.47,81,0.723,17.1,713.6,14812.7
PULSES,3.52,78,0.695,23.1,617.6,3410.32
COTTON,1.99,55,0.651,31.6,622.2,3334.79
PULSES,9.12,59,0.734,23.4,191.7,8603.58
WHEAT,1.82,138,0.274,29.6,759.1,2288.84
WHEAT,2.08,130,0.628,15.5,501.0,4931.24
COTTON,5.74,59,0.439,22.4,706.0,6664.29
PULSES,9.25,51,0.663,15.6,483.2,8208.12
PULSES,6.23,40,0.633,25.0,133.4,3172.58
MAIZE,8.78,30,0.794,16.4,611.5,53102.51
COTTON,8.74,130,0.417,23.3,245.0,10714.52
RICE,7.3,87,0.528,15.5,410.6,21499.21
MAIZE,8.21,102,0.487,29.3,433.7,39997.66
COTTON,7.98,36,0.702,31.5,615.2,12655.84
WHEAT,3.98,96,0.699,24.7,248.4,13771.47
PULSES,1.2,72,0.582,21.8,566.9,849.37
COTTON,7.15,80,0.802,18.0,266.3,11468.38
MAIZE,5.85,101,0.839,18.2,525.4,38514.57
COTTON,6.9,49,0.567,17.9,269.2,7365.73
PULSES,2.67,37,0.68,15.2,323.1,2381.01
SUGARCANE,4.36,326,0.382,27.9,490.4,122093.37
SUGARCANE,4.06,258,0.609,24.6,413.0,224628.78
PULSES,9.5,53,0.691,18.0,506.5,9620.15
RICE,6.67,55,0.764,27.8,59.2,21049.5
SUGARCANE,9.03,113,0.657,27.5,764.0,695825.68
MAIZE,5.76,78,0.529,16.6,648.4,24750.41
SUGARCANE,2.86,141,0.444,33.7,693.1,132437.73
PULSES,4.83,15,0.177,20.5,607.3,1779.37
RICE,9.11,26,0.662,19.6,489.3,40409.76
COTTON,1.43,23,0.777,18.9,137.3,1582.84
WHEAT,1.45,65,0.71,15.2,372.3,4779.64
PULSES,8.92,34,0.777,30.1,794.2,8611.57
COTTON,6.21,136,0.479,24.7,262.8,7560.26
MAIZE,8.74,41,0.786,25.1,519.4,55442.8
WHEAT,5.13,91,0.522,24.9,184.1,13474.83
PULSES,3.39,66,0.787,31.5,195.2,3224.78
WHEAT,2.53,138,0.803,24.4,563.6,9286.36
WHEAT,5.92,49,0.688,22.9,178.8,20125.61
PULSES,1.99,76,0.29,30.8,634.8,699.88
MAIZE,4.98,48,0.711,29.5,671.9,32261.08
MAIZE,4.54,60,0.401,33.8,91.5,12847.97
PULSES,8.15,68,0.405,29.1,206.5,5995.14
MAIZE,8.41,13,0.808,21.5,470.0,53837.78
WHEAT,6.37,122,0.426,19.9,294.1,16274.07
PULSES,6.13,15,0.494,34.2,579.9,3657.71
SUGARCANE,6.07,40,0.778,20.5,327.1,487188.93
RICE,4.98,105,0.845,29.6,668.2,22731.4
SUGARCANE,3.34,112,0.738,21.6,459.9,261312.65
SUGARCANE,5.54,159,0.434,30.4,703.0,316421.57
PULSES,3.48,56,0.229,32.7,188.1,1061.51
COTTON,3.94,60,0.569,20.1,610.7,4502.54
RICE,6.6,64,0.747,16.0,446.3,27215.37
SUGARCANE,4.05,299,0.656,25.1,648.7,320897.94
COTTON,3.19,95,0.576,26.3,780.7,3935.41
SUGARCANE,2.0,272,0.421,33.4,507.5,99892.88
RICE,7.79,65,0.512,32.8,795.8,20451.86
MAIZE,1.19,92,0.741,30.6,604.6,8206.25
RICE,4.31,47,0.816,15.4,218.9,16943.26
MAIZE,8.63,84,0.478,24.2,549.1,42542.15
SUGARCANE,9.29,305,0.805,19.1,186.2,681439.42
SUGARCANE,9.47,30,0.53,34.1,295.6,442447.88
WHEAT,6.75,61,0.735,20.4,752.2,23088.15
MAIZE,0.76,66,0.84,15.5,700.6,4674.29
WHEAT,4.11,124,0.69,30.4,492.7,13924.17
WHEAT,5.31,41,0.692,33.8,605.5,15662.54
MAIZE,4.44,36,0.332,22.2,241.5,10242.54
COTTON,0.65,107,0.496,32.1,316.0,692.55
RICE,4.62,118,0.455,29.0,537.8,15242.55
COTTON,0.65,80,0.615,15.9,685.6,679.35
RICE,1.72,29,0.744,15.8,497.2,6613.56
PULSES,6.78,57,0.598,23.4,181.0,4890.68
WHEAT,7.55,56,0.835,30.7,72.5,18052.69
COTTON,6.44,77,0.407,15.5,71.4,4854.28
PULSES,8.78,62,0.725,27.0,443.9,8395.08
RICE,3.81,38,0.848,17.2,406.8,15816.89
SUGARCANE,4.68,318,0.4,24.5,724.7,255707.83
MAIZE,6.74,56,0.294,16.9,419.6,15040.41
SUGARCANE,2.36,122,0.811,17.9,544.4,167525.25
PULSES,4.34,88,0.695,18.7,544.5,4222.97
COTTON,6.85,143,0.848,20.3,724.6,11108.03
MAIZE,6.78,84,0.604,30.0,649.8,32973.19
WHEAT,9.81,13,0.657,30.9,171.4,33918.38
SUGARCANE,5.07,186,0.824,34.4,354.2,348180.8
COTTON,6.4,149,0.799,28.1,435.9,10388.24
WHEAT,2.93,134,0.51,16.9,692.2,6928.45
MAIZE,1.1,56,0.655,25.9,120.9,5323.44
RICE,1.64,101,0.825,21.1,377.1,7565.48
RICE,9.68,74,0.814,32.7,433.2,34906.07
PULSES,2.61,12,0.799,25.5,635.0,2600.15
SUGARCANE,5.49,282,0.696,33.9,448.2,354810.03
RICE,6.96,91,0.548,31.9,613.3,21497.05
SUGARCANE,4.53,113,0.842,34.0,272.4,308376.4
COTTON,8.99,129,0.794,21.0,106.2,10599.78
PULSES,3.46,88,0.663,30.1,155.2,3418.87
WHEAT,7.76,72,0.682,23.4,493.6,26628.42
MAIZE,1.17,45,0.73,29.5,489.4,7855.06
WHEAT,4.71,80,0.403,17.3,283.4,10420.6
PULSES,6.19,39,0.472,17.5,607.2,3992.82
RICE,8.86,106,0.199,20.4,791.0,14008.02
MAIZE,1.57,69,0.684,29.2,699.1,10348.84
MAIZE,2.63,23,0.796,34.2,698.8,14372.6
PULSES,5.2,65,0.778,32.3,260.2,4473.84
MAIZE,9.09,91,0.734,31.7,787.3,57492.81
RICE,7.27,72,0.749,26.8,549.2,30721.16
PULSES,5.13,87,0.49,25.4,743.9,3650.23
SUGARCANE,1.52,339,0.267,17.3,623.0,37770.43
PULSES,7.24,87,0.729,29.9,310.5,7374.12
COTTON,5.95,143,0.73,31.1,608.3,9750.54
RICE,2.55,33,0.839,17.0,740.5,10402.85
PULSES,4.84,42,0.787,22.0,774.2,4684.57
RICE,3.58,99,0.176,30.9,207.0,5883.12
SUGARCANE,6.66,215,0.587,18.4,424.9,357626.48
MAIZE,6.36,104,0.632,21.3,279.4,31792.38
RICE,6.57,50,0.553,30.1,201.6,21772.4
COTTON,3.83,122,0.581,34.2,292.1,3754.82
SUGARCANE,3.45,269,0.535,30.1,453.7,191228.8
PULSES,1.22,21,0.77,32.5,353.5,1002.34
PULSES,3.73,55,0.834,17.1,767.1,3427.98
MAIZE,6.33,20,0.695,31.5,234.4,40336.71
MAIZE,0.75,38,0.636,19.9,219.4,3653.24
WHEAT,1.88,85,0.654,27.2,678.4,6561.04
SUGARCANE,9.98,108,0.82,26.6,520.4,798322.67
COTTON,7.59,103,0.463,22.4,725.0,9505.95
MAIZE,5.63,19,0.139,32.2,789.7,11194.5
SUGARCANE,6.0,59,0.327,25.1,406.8,164866.54
SUGARCANE,2.66,188,0.555,26.1,788.8,148442.91
SUGARCANE,8.45,245,0.519,23.7,764.9,457647.86
SUGARCANE,4.76,342,0.72,32.4,160.9,317212.28
RICE,9.57,45,0.839,29.6,585.2,42069.3
PULSES,7.76,27,0.162,24.0,453.8,2842.4
MAIZE,2.71,75,0.142,25.8,561.0,6383.32
RICE,9.72,16,0.486,17.4,783.0,28312.31
SUGARCANE,4.43,92,0.46,27.0,619.1,240125.09
WHEAT,0.78,136,0.48,16.9,352.7,1833.23
PULSES,4.18,62,0.745,31.9,187.2,4060.07
WHEAT,7.22,74,0.687,23.0,220.0,26648.61
PULSES,1.27,67,0.526,15.4,504.6,862.63
RICE,6.99,22,0.843,25.6,53.5,21281.08
RICE,8.1,82,0.822,34.1,191.4,30660.17
WHEAT,5.58,98,0.787,18.1,330.6,19007.04
COTTON,7.21,55,0.813,23.9,516.6,12414.35
RICE,8.17,49,0.131,28.7,492.6,12637.21
RICE,5.23,87,0.773,21.7,391.0,23376.71
COTTON,7.95,39,0.416,19.9,156.0,9979.21
COTTON,2.29,113,0.662,34.6,410.3,3322.08
PULSES,7.22,85,0.754,28.3,290.4,7167.34
SUGARCANE,7.17,277,0.759,19.0,290.2,549213.86
WHEAT,3.28,119,0.725,24.8,418.4,11339.53
COTTON,6.29,88,0.807,20.7,563.0,9916.78
RICE,2.29,21,0.767,33.0,457.1,8685.3
PULSES,0.96,13,0.711,18.8,773.1,907.86
PULSES,8.8,75,0.686,22.4,574.4,9069.77
RICE,4.84,33,0.571,16.5,202.7,13530.41
PULSES,6.32,15,0.16,28.8,743.2,2162.52
WHEAT,6.77,94,0.386,31.5,328.8,8958.31
RICE,1.98,86,0.784,32.6,367.1,7457.44
PULSES,3.44,44,0.652,31.5,332.8,3522.29
WHEAT,8.26,134,0.652,28.9,81.3,20896.31
WHEAT,6.8,67,0.673,18.2,643.4,22898.38
SUGARCANE,3.61,141,0.307,28.9,263.6,98921.32
SUGARCANE,2.98,71,0.827,19.0,114.9,166186.82
WHEAT,1.71,19,0.672,19.6,674.8,5829.28
PULSES,8.16,40,0.724,29.8,381.5,8295.81
PULSES,9.37,34,0.574,15.9,60.7,4102.63
MAIZE,9.26,54,0.83,16.1,335.0,57462.11
SUGARCANE,1.1,104,0.481,29.4,69.0,42863.57
WHEAT,6.22,83,0.679,34.3,92.5,13267.86
COTTON,5.42,14,0.441,33.7,327.8,5331.31
RICE,7.0,10,0.763,31.3,626.5,29628.5
WHEAT,7.74,19,0.665,28.0,733.1,28435.97
PULSES,4.17,88,0.832,19.8,417.9,4025.11
PULSES,4.82,29,0.826,19.5,265.1,4882.02
COTTON,9.99,51,0.654,31.1,158.0,16417.45
PULSES,8.86,39,0.136,27.5,206.1,3159.55
COTTON,4.88,125,0.728,22.3,294.5,7970.58
PULSES,5.53,41,0.688,18.9,705.2,5561.93
SUGARCANE,3.95,247,0.803,23.2,533.0,295436.52
WHEAT,4.97,125,0.817,30.5,517.7,16708.7
WHEAT,3.71,50,0.625,23.6,757.4,9045.36
WHEAT,4.17,54,0.799,26.3,166.9,14534.37
WHEAT,1.93,91,0.824,17.6,748.4,6001.87
SUGARCANE,5.54,331,0.562,30.7,114.3,206497.86
RICE,3.65,21,0.83,19.1,163.0,15599.1
RICE,3.95,50,0.816,24.5,577.7,17014.57
RICE,8.12,30,0.144,23.3,449.2,13145.68
WHEAT,5.84,130,0.467,32.0,237.0,14372.36
WHEAT,9.14,34,0.433,22.6,334.5,22627.32
RICE,6.07,114,0.738,26.4,385.5,25425.63
COTTON,9.49,98,0.637,32.7,101.7,6528.5
MAIZE,6.94,29,0.837,34.2,197.8,39455.97
MAIZE,7.26,110,0.771,31.0,62.0,34852.82
COTTON,9.92,103,0.446,20.6,440.3,12399.12
COTTON,3.53,52,0.698,21.1,386.7,5785.45
RICE,3.09,107,0.558,21.7,73.5,7179.11
SUGARCANE,0.6,303,0.726,33.1,335.0,37447.81
PULSES,3.07,58,0.811,32.1,638.1,2559.43
MAIZE,1.76,54,0.533,24.8,250.0,8797.2
PULSES,1.31,50,0.615,15.5,146.4,609.79
WHEAT,1.21,105,0.764,19.7,115.5,2854.85
PULSES,0.63,53,0.548,18.1,519.6,470.44
COTTON,6.49,94,0.425,17.4,578.1,6798.59
PULSES,9.3,33,0.84,15.1,643.7,8065.12
RICE,7.31,59,0.756,24.5,198.0,33733.38
SUGARCANE,7.21,250,0.785,32.3,95.9,319918.49
RICE,1.26,35,0.826,26.5,192.0,5335.55
RICE,2.29,118,0.848,18.2,526.5,10169.01
SUGARCANE,4.42,337,0.735,31.5,601.6,341379.77
PULSES,8.96,42,0.682,16.2,420.4,8304.84
RICE,6.39,114,0.785,33.0,384.4,25038.96
PULSES,1.34,85,0.619,29.0,504.1,1009.11
SUGARCANE,2.99,173,0.798,24.6,424.8,236294.55
MAIZE,5.69,105,0.767,15.9,314.7,33680.12
COTTON,3.58,113,0.83,24.0,156.6,6055.0
COTTON,9.52,45,0.492,32.4,162.0,9580.0
COTTON,8.02,54,0.839,19.3,62.3,9237.43
MAIZE,3.7,12,0.682,31.6,690.4,23877.07
WHEAT,5.12,137,0.839,18.2,776.8,17228.98
RICE,1.14,51,0.546,17.8,439.1,3281.31
WHEAT,4.46,13,0.283,21.8,283.0,5776.44
SUGARCANE,1.66,76,0.718,22.5,566.4,123066.8
SUGARCANE,9.72,42,0.724,19.9,758.4,762531.76
MAIZE,6.52,70,0.533,26.5,298.3,30339.52
WHEAT,9.67,68,0.546,31.3,236.8,24911.9
RICE,3.48,22,0.68,21.4,446.9,15254.87
PULSES,3.03,67,0.689,30.4,583.9,2958.84
RICE,5.0,38,0.479,31.5,411.9,15433.79
MAIZE,9.59,72,0.275,25.7,668.1,23351.67
SUGARCANE,6.25,161,0.577,18.9,649.1,342385.97
COTTON,4.52,12,0.691,20.9,71.6,5295.77
COTTON,1.25,129,0.638,23.9,336.5,1448.55
COTTON,7.71,37,0.232,19.0,504.9,4526.43
SUGARCANE,1.72,18,0.824,26.1,326.6,129993.42
PULSES,4.06,13,0.555,22.9,295.0,3021.44
RICE,6.61,51,0.764,32.7,91.9,17680.97
WHEAT,5.22,27,0.67,18.3,585.4,17624.47
MAIZE,9.74,53,0.719,16.4,350.4,55322.4
COTTON,6.6,111,0.532,16.8,205.4,6884.98
MAIZE,2.66,17,0.534,16.0,682.2,11175.79
RICE,0.9,107,0.681,32.4,425.4,3306.41
PULSES,6.87,12,0.708,15.5,586.1,6069.1
RICE,0.88,85,0.696,24.8,312.0,3709.62
MAIZE,5.34,31,0.68,15.1,520.8,32109.09
MAIZE,5.78,75,0.817,30.1,242.2,36987.43
MAIZE,4.23,93,0.656,27.1,538.6,27950.96
